u_id,wk,Scroll down,Scroll up,Target Clicked,Select
All users,W34,20922,5816,277,26
All users,W35,16056,4732,352,106
All users,W36,6891,2338,99,7
All users,W37,34315,7339,499,90
All users,W38,21677,3386,192,56
All users,W39,26071,4817,152,60
All users,W40,53876,13208,253,79
All users,W41,112070,38018,846,154
All users,W42,17196,4659,150,57
All users,W43,42095,9491,248,92
All users,W44,47176,12689,201,84
All users,W45,25400,7075,143,58
All users,W46,19322,6005,126,36
A0001,W38,58,62,12,2
A0001,W40,92,103,6,0
A0001,W41,13,18,3,0
A0001,W42,45,44,13,6
A0001,W46,231,181,8,0
A0005,W34,88,25,7,0
A0005,W35,0,0,11,0
A0005,W36,0,0,3,0
A0005,W37,63,30,29,13
A0005,W40,1220,203,2,0
A0005,W41,3291,834,11,0
A0005,W43,163,1,4,0
A0008,W34,65,37,8,0
A0008,W35,32,15,1,0
A0008,W36,167,123,10,2
A0008,W37,62,24,19,7
A0008,W38,35,19,0,0
A0008,W41,146,108,20,5
A0008,W42,20,19,0,0
A0008,W43,98,94,4,2
A0008,W44,24,25,4,2
A0008,W46,1744,1189,6,0
A0009,W34,1070,267,1,0
A0009,W36,577,125,3,0
A0009,W37,7005,718,9,1
A0009,W38,224,1,0,0
A0009,W39,1899,519,3,1
A0009,W40,168,200,1,1
A0009,W41,5232,1957,16,9
A0009,W42,601,142,0,0
A0009,W43,3300,863,1,1
A0009,W44,2654,836,10,6
A0009,W45,2724,415,10,1
A0009,W46,967,302,2,2
A0010,W34,76,44,0,0
A0010,W35,1951,816,19,2
A0010,W37,842,98,5,0
A0010,W38,480,87,8,0
A0010,W39,74,0,0,0
A0010,W40,1828,1095,15,1
A0010,W41,2414,1003,10,0
A0010,W42,1178,474,3,0
A0010,W43,280,74,71,46
A0010,W44,367,244,0,0
A0010,W45,1516,784,14,0
A0010,W46,613,81,6,0
A0011,W35,433,464,11,1
A0011,W36,268,316,30,3
A0011,W37,327,315,11,1
A0011,W38,100,107,0,0
A0011,W39,262,297,10,2
A0011,W40,405,447,5,0
A0011,W42,67,35,7,1
A0011,W43,26,35,1,0
A0011,W46,55,60,7,2
A0014,W42,0,0,3,2
A0015,W41,171,135,1,0
A0018,W41,155,93,5,0
A0018,W43,105,38,3,1
A0018,W44,51,0,0,0
A0018,W46,16,1,0,0
A0019,W34,37,19,0,0
A0019,W37,229,193,17,0
A0019,W38,7,0,0,0
A0019,W39,3,19,2,0
A0019,W40,71,53,4,0
A0019,W41,489,79,20,0
A0019,W43,61,8,1,0
A0019,W44,57,37,2,0
A0019,W45,15,0,1,0
A0019,W46,110,49,10,0
A0020,W37,750,181,7,1
A0020,W39,1227,48,0,0
A0020,W40,225,2,0,0
A0020,W41,1410,246,1,1
A0020,W42,423,18,0,0
A0020,W43,2636,472,10,0
A0020,W44,5683,1478,12,4
A0020,W45,9,3,7,2
A0020,W46,681,3,0,0
A0021,W35,1505,430,10,0
A0021,W38,1418,159,7,1
