name,word,count
holmes,All,457
little,All,269
time,All,150
door,A0001,140
matter,A0005,125
heard,A0008,113
hand,A0009,112
house,A0010,112
found,A0001,107
morning,A0005,99
tell,A0008,98
sherlock,A0009,96
eyes,A0010,87
miss,A0001,87
day,A0005,85
left,A0008,84
street,A0009,82
round,A0010,81
watson,A0001,81
sir,A0005,78
night,A0008,76
business,A0009,73
light,A0010,73
look,A0001,73
father,A0005,72
hands,A0008,72
seen,A0009,72
lady,A0010,71
window,A0001,70
cried,A0005,69
friend,A0008,69
head,A0009,67
doubt,A0010,64
remarked,A0001,64
indeed,A0005,62
name,A0008,62
course,A0009,59
woman,A0010,59
mind,A0001,58
answered,A0005,56
chair,A0008,56
dear,A0009,56
sat,A0010,54
wife,A0001,52
looked,A0005,51
brought,A0008,50
front,A0009,50
hardly,A0010,50
told,A0001,50
black,A0005,49
leave,A0008,48
understand,A0009,48
help,A0010,47
life,A0001,47
suddenly,A0005,47
home,A0008,46
minutes,A0009,46
son,A0010,46
strange,A0001,46
words,A0005,46
papers,A0008,45
fire,A0009,44
gone,A0010,44
hair,A0001,44
wish,A0005,44
call,A0008,43
hat,A0009,43
looking,A0010,43
money,A0001,43
police,A0005,43
table,A0008,43
baker,A0009,42
days,A0010,42
gentleman,A0001,42
lay,A0005,42
pounds,A0008,42
passed,A0009,41
pray,A0010,41
set,A0001,41
lord,A0005,40
